Date,Open,High,Low,Close,Adj Close,Volume
6/6/2022,191.389999,193.369995,185.639999,187.860001,187.820297,42240600
6/7/2022,184.720001,190,181.880005,189.259995,189.219986,38891400
6/8/2022,187.990005,191.800003,185.350006,186.479996,186.479996,36325200
6/9/2022,184.809998,189.330002,180.410004,180.479996,180.479996,39557400
6/10/2022,176,176.970001,168.690002,169.740005,169.740005,46524800
6/13/2022,160,163.119995,156.059998,156.470001,156.470001,60415300
6/14/2022,157.309998,160.660004,154.119995,158.360001,158.360001,46968000
6/15/2022,160.949997,168.679993,159.259995,165.270004,165.270004,56393600
6/16/2022,158.600006,159.419998,154.009995,156.009995,156.009995,54574900
6/17/2022,156.479996,159.949997,153.279999,158.800003,158.800003,63033400
6/21/2022,164.75,170.080002,164.070007,165.660004,165.660004,48308900
6/22/2022,162.259995,166.619995,161.800003,163.600006,163.600006,43713500
6/23/2022,165.190002,165.850006,158.529999,162.25,162.25,46368000
6/24/2022,165,171.399994,163.100006,171.259995,171.259995,47215300
6/27/2022,173.119995,173.300003,166.259995,168.690002,168.690002,42796800
6/28/2022,169,172.020004,159.449997,159.820007,159.820007,46114900
6/29/2022,158.139999,158.199997,151.699997,155.419998,155.419998,48235200
6/30/2022,153.610001,155.669998,148.619995,151.589996,151.589996,68607000
7/1/2022,148.990005,150.630005,143.919998,145.229996,145.229996,57761000
7/5/2022,141.75,149.710007,140.550003,149.639999,149.639999,65139700
7/6/2022,150.100006,153.190002,147.889999,151.300003,151.300003,52906600
7/7/2022,154.559998,159.449997,153.889999,158.580002,158.580002,49290300
7/8/2022,154.300003,160.369995,153.889999,158.380005,158.380005,46797200
7/11/2022,155.259995,155.270004,150.380005,151.520004,151.520004,43732100
7/12/2022,152.679993,154.309998,148.770004,150.820007,150.820007,45848300
7/13/2022,145.899994,153.75,144.649994,151.639999,151.639999,52191800
7/14/2022,151.080002,154.729996,147.279999,153.720001,153.720001,45623500
7/15/2022,156.589996,157.820007,154.449997,157.619995,157.619995,38593500
7/18/2022,163.020004,168.970001,160.020004,161.009995,161.009995,67051700
7/19/2022,164.860001,171.100006,161.720001,169.919998,169.919998,70236600
